Name,Braid Notation,Positive,Q-Positive
3_1,{1;1;1},Y,Y
4_1,{1;-2;1;-2},N,N
5_1,{1;1;1;1;1},Y,Y
5_2,{1;1;1;2;-1;2},Y,Y
6_1,{1;1;2;-1;-3;2;-3},N,N
6_2,{1;1;1;-2;1;-2},N,N
6_3,{1;1;-2;1;-2;-2},N,N
7_1,{1;1;1;1;1;1;1},Y,Y
7_2,{1;1;1;2;-1;2;3;-2;3},Y,Y
7_3,{1;1;1;1;1;2;-1;2},Y,Y
7_4,{1;1;2;-1;2;2;3;-2;3},Y,Y
7_5,{1;1;1;1;2;-1;2;2},Y,Y
7_6,{1;1;-2;1;3;-2;3},N,N
7_7,{-1;2;-1;2;-3;2;-3},N,N
8_1,{1;1;2;-1;2;3;-2;-4;3;-4},N,N
8_2,{1;1;1;1;1;-2;1;-2},N,N
8_3,{1;1;2;-1;-3;2;-3;-4;3;-4},N,N
8_4,{-1;-1;-1;2;-1;2;3;-2;3},N,N
8_5,{1;1;1;-2;1;1;1;-2},N,N
8_6,{1;1;1;1;2;-1;-3;2;-3},N,N
8_7,{-1;-1;-1;-1;2;-1;2;2},N,N
8_8,{-1;-1;-1;-2;1;3;-2;3;3},N,N
8_9,{1;1;1;-2;1;-2;-2;-2},N,N
8_10,{-1;-1;-1;2;-1;-1;2;2},N,N
8_11,{1;1;2;-1;2;2;-3;2;-3},N,N
8_12,{1;-2;1;3;-2;-4;3;-4},N,N
8_13,{1;1;-2;1;-2;-2;-3;2;-3},N,N
8_14,{1;1;1;2;-1;2;-3;2;-3},N,N
8_15,{1;1;-2;1;3;2;2;2;3},Y,Y
8_16,{-1;-1;2;-1;-1;2;-1;2},N,N
8_17,{1;1;-2;1;-2;1;-2;-2},N,N
8_18,{1;-2;1;-2;1;-2;1;-2},N,N
8_19,{1;1;1;2;1;1;1;2},Y,Y
8_20,{1;1;1;-2;-1;-1;-1;-2},N,Y
8_21,{1;1;1;2;-1;-1;2;2},N,Y
9_1,{1;1;1;1;1;1;1;1;1},Y,Y
9_2,{1;1;1;2;-1;2;3;-2;3;4;-3;4},Y,Y
9_3,{1;1;1;1;1;1;1;2;-1;2},Y,Y
9_4,{1;1;1;1;1;2;-1;2;3;-2;3},Y,Y
9_5,{1;1;2;-1;2;2;3;-2;3;4;-3;4},Y,Y
9_6,{1;1;1;1;1;1;2;-1;2;2},Y,Y
9_7,{1;1;1;1;2;-1;2;3;-2;3;3},Y,Y
9_8,{1;1;-2;1;-2;-3;2;4;-3;4},N,N
9_9,{1;1;1;1;1;2;-1;2;2;2},Y,Y
9_10,{1;1;2;-1;2;2;2;2;3;-2;3},Y,Y
9_11,{-1;-1;-1;-1;2;-1;-3;2;-3},N,N
9_12,{1;1;-2;1;3;-2;3;4;-3;4},N,N
9_13,{1;1;1;1;2;-1;2;2;3;-2;3},Y,Y
9_14,{-1;-1;-2;1;3;-2;3;-4;3;-4},N,N
9_15,{-1;-1;-1;-2;1;3;-2;-4;3;-4},N,N
9_16,{1;1;1;1;2;2;-1;2;2;2},Y,Y
9_17,{-1;2;-1;2;2;2;-3;2;-3},N,N
9_18,{1;1;1;2;-1;2;2;2;3;-2;3},Y,Y
9_19,{-1;2;-1;2;2;3;-2;-4;3;-4},N,N
9_20,{1;1;1;-2;1;3;-2;3;3},N,N
9_21,{-1;-1;-2;1;-2;3;-2;-4;3;-4},N,N
9_22,{-1;2;-1;2;-3;2;2;2;-3},N,N
9_23,{1;1;1;2;-1;2;2;3;-2;3;3},Y,Y
9_24,{1;1;-2;1;3;-2;-2;-2;3},N,N
9_25,{1;1;-2;1;3;2;2;-4;3;-4},N,N
9_26,{-1;-1;-1;2;-1;2;-3;2;-3},N,N
9_27,{1;1;-2;1;-2;-2;3;-2;3},N,N
9_28,{1;1;-2;1;3;-2;-2;3;3},N,N
9_29,{1;-2;-2;3;-2;1;-2;3;-2},N,N
9_30,{-1;-1;2;2;-1;2;-3;2;-3},N,N
9_31,{1;1;-2;1;-2;3;-2;3;3},N,N
9_32,{-1;-1;2;-1;2;-1;-3;2;-3},N,N
9_33,{-1;2;-1;2;2;-1;-3;2;-3},N,N
9_34,{-1;2;-1;2;-3;2;-1;2;-3},N,N
9_35,{1;1;2;-1;2;2;3;-2;-2;4;-3;2;4;3},Y,Y
9_36,{-1;-1;-1;2;-1;-1;-3;2;-3},N,N
9_37,{1;1;-2;1;3;-2;-1;-4;3;-2;3;-4},N,N
9_38,{1;1;2;2;-3;2;-1;2;3;3;2},Y,Y
9_39,{-1;-1;-2;1;3;2;-1;-4;-3;2;-3;-4},N,N
9_40,{1;-2;1;3;-2;1;3;-2;3},N,N
9_41,{-1;-1;-2;1;3;2;2;-4;-3;2;-3;-4},N,N
9_42,{-1;-1;-1;2;1;1;-3;2;-3},N,N
9_43,{1;1;1;2;1;1;-3;2;-3},N,N
9_44,{1;1;1;2;-1;-1;-3;2;-3},N,N
9_45,{-1;-1;-2;1;-2;-1;-3;2;-3},N,Y
9_46,{-1;2;-1;2;-3;-2;1;-2;-3},N,Y
9_47,{-1;2;-1;2;3;2;-1;2;3},N,N
9_48,{-1;-1;-2;1;-2;-1;3;-2;1;-2;3},N,N
9_49,{1;1;2;1;1;-3;2;-1;2;3;3},Y,Y
10_1,{1;1;2;-1;2;3;-2;3;4;-3;-5;4;-5},N,N
10_2,{1;1;1;1;1;1;1;-2;1;-2},N,N
10_3,{1;1;2;-1;2;3;-2;-4;3;-4;-5;4;-5},N,N
10_4,{-1;-1;-1;2;-1;2;3;-2;3;4;-3;4},N,N
10_5,{-1;-1;-1;-1;-1;-1;2;-1;2;2},N,N
10_6,{1;1;1;1;1;1;2;-1;-3;2;-3},N,N
10_7,{1;1;2;-1;2;3;-2;3;3;-4;3;-4},N,N
10_8,{1;1;1;1;1;-2;1;-2;-3;2;-3},N,N
10_9,{1;1;1;1;1;-2;1;-2;-2;-2},N,N
10_10,{1;1;-2;1;-2;-2;-3;2;-3;-4;3;-4},N,N
10_11,{1;1;1;1;2;-1;-3;2;-3;-4;3;-4},N,N
10_12,{-1;-1;-1;-1;-1;-2;1;3;-2;3;3},N,N
10_13,{1;1;2;-1;-3;2;4;-3;-5;4;-5},N,N
10_14,{1;1;1;1;1;2;-1;2;-3;2;-3},N,N
10_15,{-1;-1;-1;-1;2;-1;2;3;-2;3;3},N,N
10_16,{1;1;2;-1;2;2;-3;2;-3;-4;3;-4},N,N
10_17,{1;1;1;1;-2;1;-2;-2;-2;-2},N,N
10_18,{1;1;1;2;-1;2;-3;2;-3;-4;3;-4},N,N
10_19,{1;1;1;1;-2;1;-2;-2;-3;2;-3},N,N
10_20,{1;1;1;1;2;-1;2;3;-2;-4;3;-4},N,N
10_21,{1;1;2;-1;2;2;2;2;-3;2;-3},N,N
10_22,{1;1;1;1;2;-1;-3;2;-3;-3;-3},N,N
10_23,{1;1;-2;1;-2;-2;-2;-2;-3;2;-3},N,N
10_24,{1;1;2;-1;2;2;2;3;-2;-4;3;-4},N,N
10_25,{1;1;1;1;2;-1;2;2;-3;2;-3},N,N
10_26,{-1;-1;-1;2;-1;2;2;2;3;-2;3},N,N
10_27,{-1;-1;-1;-1;-2;1;-2;3;-2;3;3},N,N
10_28,{-1;-1;-2;1;-2;-2;-3;2;4;-3;4;4},N,N
10_29,{1;1;1;-2;1;3;-2;-4;3;-4},N,N
10_30,{1;1;2;-1;2;2;3;-2;3;-4;3;-4},N,N
10_31,{1;1;1;2;-1;-3;2;-3;-3;-4;3;-4},N,N
10_32,{-1;-1;-1;2;-1;2;2;3;-2;3;3},N,N
10_33,{1;1;2;-1;2;-3;2;-3;-3;-4;3;-4},N,N
10_34,{-1;-1;-1;-2;1;-2;-3;2;4;-3;4;4},N,N
10_35,{1;-2;1;-2;-3;2;4;-3;-5;4;-5},N,N
10_36,{1;1;1;2;-1;2;3;-2;3;-4;3;-4},N,N
10_37,{1;1;1;2;-1;-3;2;-3;-4;3;-4;-4},N,N
10_38,{1;1;1;2;-1;2;2;3;-2;-4;3;-4},N,N
10_39,{1;1;1;2;-1;2;2;2;-3;2;-3},N,N
10_40,{-1;-1;-1;-2;1;-2;-2;3;-2;3;3},N,N
10_41,{-1;2;-1;2;2;-3;2;4;-3;4},N,N
10_42,{1;1;-2;1;-2;3;-2;-4;3;-4},N,N
10_43,{1;1;-2;1;3;-2;-4;3;-4;-4},N,N
10_44,{1;1;-2;1;3;-2;3;-4;3;-4},N,N
10_45,{1;-2;1;-2;3;-2;3;-4;3;-4},N,N
10_46,{1;1;1;1;1;-2;1;1;1;-2},N,N
10_47,{-1;-1;-1;-1;-1;2;-1;-1;2;2},N,N
10_48,{-1;-1;-1;-1;2;2;-1;2;2;2},N,N
10_49,{1;1;1;1;-2;1;3;2;2;2;3},Y,Y
10_50,{1;1;2;-1;2;2;-3;2;2;2;-3},N,N
10_51,{-1;-1;-2;1;-2;-2;3;-2;-2;3;3},N,N
10_52,{1;1;1;-2;1;1;-2;-2;-3;2;-3},N,N
10_53,{1;1;2;-1;2;-3;2;4;3;3;3;4},Y,Y
10_54,{-1;-1;-1;2;-1;-1;2;3;-2;3;3},N,N
10_55,{1;1;1;2;-1;-3;2;4;3;3;3;4},Y,Y
10_56,{1;1;1;2;-1;2;-3;2;2;2;-3},N,N
10_57,{-1;-1;-1;-2;1;-2;3;-2;-2;3;3},N,N
10_58,{-1;2;-1;-3;2;4;3;3;-5;4;-5},N,N
10_59,{-1;2;-1;2;-3;2;2;4;-3;4},N,N
10_60,{-1;2;-1;2;2;-3;2;-3;-2;-4;3;-4},N,N
10_61,{1;1;1;-2;1;1;1;-2;-3;2;-3},N,N
10_62,{-1;-1;-1;-1;2;-1;-1;-1;2;2},N,N
10_63,{1;1;-2;1;3;2;2;2;3;4;-3;4},Y,Y
10_64,{1;1;1;-2;1;1;1;-2;-2;-2},N,N
10_65,{-1;-1;-2;1;-2;3;-2;-2;-2;3;3},N,N
10_66,{1;1;1;-2;1;3;2;2;2;3;3},Y,Y
10_67,{1;1;1;2;-1;2;3;-2;-2;-4;3;2;-4;3},N,N
10_68,{1;1;-2;1;-2;-2;-3;2;2;-4;3;-2;-4;-3},N,N
10_69,{-1;-1;-2;1;3;-2;-1;-4;3;-2;3;-4},N,N
10_70,{1;-2;1;3;-2;-2;-2;-4;3;-4},N,N
10_71,{-1;-1;2;-1;-3;2;2;4;-3;4},N,N
10_72,{1;1;1;1;2;2;-1;2;-3;2;-3},N,N
10_73,{-1;-1;-2;1;-2;-1;3;-2;3;-4;3;-4},N,N
10_74,{1;1;2;-1;2;2;3;-2;-2;-4;3;2;-4;3},N,N
10_75,{-1;2;-1;2;-3;2;2;-4;3;-2;-4;-3},N,N
10_76,{1;1;1;1;2;-1;-3;2;2;2;-3},N,N
10_77,{-1;-1;-1;-1;-2;1;3;-2;-2;3;3},N,N
10_78,{1;1;2;-1;2;1;-3;2;4;-3;4;4},N,N
10_79,{1;1;1;-2;-2;1;1;-2;-2;-2},N,N
10_80,{1;1;1;-2;1;1;3;2;2;2;3},Y,Y
10_81,{1;1;-2;1;3;2;2;-4;-3;-3;-3;-4},N,N
10_82,{1;1;1;1;-2;1;-2;1;-2;-2},N,N
10_83,{-1;-1;-2;1;-2;3;-2;-2;3;-2;3},N,N
10_84,{1;1;1;2;-1;-3;2;2;-3;2;-3},N,N
10_85,{-1;-1;-1;-1;2;-1;-1;2;-1;2},N,N
10_86,{-1;-1;2;-1;2;-1;2;2;3;-2;3},N,N
10_87,{1;1;1;2;-1;-3;2;-3;2;-3;-3},N,N
10_88,{1;-2;1;3;-2;3;-2;-4;3;-4},N,N
10_89,{-1;2;-1;2;3;-2;-1;-4;-3;2;-3;-4},N,N
10_90,{-1;-1;2;-1;2;3;-2;-1;3;2;2},N,N
10_91,{-1;-1;-1;2;-1;2;2;-1;2;2},N,N
10_92,{1;1;1;2;2;-3;2;-1;2;-3;2},N,N
10_93,{-1;-1;2;-1;-1;2;-1;2;3;-2;3},N,N
10_94,{1;1;1;-2;1;1;-2;-2;1;-2},N,N
10_95,{1;1;-2;-2;3;-2;1;-2;-3;-3;-2},N,N
10_96,{1;-2;-1;3;-2;-1;3;-4;3;-2;3;-4},N,N
10_97,{1;1;2;-1;2;1;-3;2;-1;2;3;-4;3;-4},N,N
10_98,{1;1;2;2;-3;2;-1;2;2;-3;2},N,N
10_99,{1;1;-2;1;1;-2;-2;1;-2;-2},N,N
10_100,{-1;-1;-1;2;-1;-1;2;-1;-1;2},N,N
10_101,{1;1;1;2;-1;3;-2;1;3;2;2;4;-3;4},Y,Y
10_102,{-1;-1;2;-1;-3;2;-1;2;2;3;3},N,N
10_103,{-1;-1;-2;1;3;-2;-2;3;-2;-2;3},N,N
10_104,{-1;-1;-1;2;2;-1;2;-1;2;2},N,N
10_105,{1;1;-2;1;3;2;2;-4;-3;2;-3;-4},N,N
10_106,{1;1;1;-2;1;-2;1;1;-2;-2},N,N
10_107,{1;1;-2;1;-3;-2;-2;4;-3;2;-3;4},N,N
10_108,{1;1;-2;1;1;3;-2;1;-2;-3;-3},N,N
10_109,{1;1;-2;1;-2;-2;1;1;-2;-2},N,N
10_110,{1;-2;1;3;2;2;2;-4;-3;2;-3;-4},N,N
10_111,{1;1;2;2;-3;2;2;-1;2;-3;2},N,N
10_112,{-1;-1;-1;2;-1;2;-1;2;-1;2},N,N
10_113,{1;1;1;2;-3;2;-1;2;-3;2;-3},N,N
10_114,{-1;-1;-2;1;3;-2;3;-2;3;-2;3},N,N
10_115,{1;-2;1;3;2;2;-4;-3;2;-3;-3;-4},N,N
10_116,{-1;-1;2;-1;-1;2;-1;2;-1;2},N,N
10_117,{-1;-1;-2;-2;3;-2;1;-2;3;-2;3},N,N
10_118,{1;1;-2;1;-2;1;-2;-2;1;-2},N,N
10_119,{1;1;-2;1;3;-2;1;-2;-3;-3;-2},N,N
10_120,{1;1;2;-1;-3;-2;1;4;3;2;2;3;3;4},Y,Y
10_121,{1;1;2;-3;2;-1;2;-3;2;-3;2},N,N
10_122,{-1;-1;-2;3;-2;1;3;-2;3;-2;3},N,N
10_123,{1;-2;1;-2;1;-2;1;-2;1;-2},N,N
10_124,{1;1;1;1;1;2;1;1;1;2},Y,Y
10_125,{-1;-1;-1;-1;-1;2;1;1;1;2},N,N
10_126,{-1;-1;-1;-1;-1;-2;1;1;1;-2},N,Y
10_127,{1;1;1;1;1;2;-1;-1;2;2},N,Y
10_128,{1;1;1;2;1;1;2;2;3;-2;3},Y,Y
10_129,{-1;-1;-1;2;1;1;-3;2;1;-3;2},N,N
10_130,{1;1;1;-2;-1;-1;-2;-2;-3;2;-3},N,N
10_131,{1;1;1;2;-1;-1;2;2;3;-2;3},N,Y
10_132,{1;1;1;-2;-1;-1;-2;-3;2;-3;-3},N,N
10_133,{1;1;1;2;-1;-1;2;3;-2;3;3},N,Y
10_134,{1;1;1;2;1;1;2;3;-2;3;3},Y,Y
10_135,{-1;-1;-1;-2;1;-2;3;2;2;2;3},N,N
10_136,[{-1;-1;-2;3;-2;1;-2;-2;3;2;2};{-1;2;-1;2;3;-2;-2;-4;3;-4}],N,N
10_137,{1;-2;1;-2;3;2;2;-4;3;-4},N,N
10_138,{-1;2;-1;2;3;2;2;-4;3;-4},N,N
10_139,{1;1;1;1;2;1;1;1;2;2},Y,Y
10_140,{-1;-1;-1;2;1;1;1;2;3;-2;3},N,Y
10_141,{-1;-1;-1;-1;2;1;1;1;2;2},N,N
10_142,{1;1;1;2;1;1;1;2;3;-2;3},Y,Y
10_143,{-1;-1;-1;-1;-2;1;1;1;-2;-2},N,Y
10_144,{1;1;2;-1;2;1;-3;2;1;-3;-2},N,N
10_145,{-1;-1;-2;1;-2;-1;-3;-2;1;-2;-3},N,Y
10_146,{-1;-1;2;-1;2;1;-3;2;-1;2;-3},N,N
10_147,{1;1;1;-2;1;-2;-3;2;-1;2;-3},N,N
10_148,{-1;-1;-1;-1;-2;1;1;-2;1;-2},N,Y
10_149,{1;1;1;1;2;-1;2;-1;2;2},N,Y
10_150,{1;1;1;-2;1;1;3;-2;-1;3;2},N,N
10_151,{-1;-1;-1;-2;1;1;-3;2;-1;-3;2},N,N
10_152,{1;1;1;2;2;1;1;2;2;2},Y,Y
10_153,{-1;-1;-1;-2;-1;-1;3;2;2;2;3},N,N
10_154,{1;1;2;-1;2;1;3;2;2;2;3},Y,Y
10_155,{-1;-1;-1;-2;1;1;-2;1;1;-2},N,Y
10_156,{-1;-1;-1;2;1;1;-3;-2;1;-2;-3},N,N
10_157,{-1;-1;-1;-2;-2;1;-2;1;-2;-2},N,Y
10_158,{-1;-1;-1;-2;1;1;3;2;-1;2;3},N,N
10_159,{1;1;1;2;-1;2;-1;-1;2;2},N,Y
10_160,{1;1;1;2;1;1;-3;2;-1;2;-3},N,N
10_161,{1;1;1;2;-1;2;1;1;2;2},Y,Y
10_162,{-1;-1;-2;1;1;-2;-2;-1;3;-2;3},N,N
10_163,{1;1;-2;-1;-1;3;2;-1;2;2;3},N,N
10_164,{1;1;-2;1;-2;-2;-3;2;-1;2;-3},N,N
10_165,{-1;-1;-2;1;3;-2;1;-2;-3;-3;-2},N,Y